scene,n_not_land_pixels,primary_valid_pixels,secondary_valid_pixels,combined_valid_pixels,primary_only_pixels,secondary_only_pixels,n_amsr2_pixels,amsr2_valid_pixels,n_era5_pixels,era5_valid_pixels
S1A_EW_GRDM_1SDH_20180213T202018_20180213T202033_020593_0233F5_596A_icechart_dmi_201802132020_CapeFarewell_RIC.nc,16155026,15081312,15072103,15072093,9219,10,9936,9936,9936,9936
S1A_EW_GRDM_1SDH_20180306T101622_20180306T101722_020893_023D76_206D_icechart_dmi_201803061015_CentralWest_RIC.nc,59140774,58851034,58850976,58850976,58,0,41392,41392,41392,41392
S1A_EW_GRDM_1SDH_20180821T151146_20180821T151241_023346_028A15_F037_icechart_cis_SGRDIWA_20180821T1519Z_pl_a.nc,57808478,54345358,54345358,54345358,0,0,37856,37856,37856,37856
S1A_EW_GRDM_1SDH_20180728T101728_20180728T101828_022993_027EDA_C7D9_icechart_cis_SGRDIEA_20180728T1018Z_pl_a.nc,87309420,86610177,86610177,86610177,0,0,41392,41392,41392,41392
S1A_EW_GRDM_1SDH_20180222T101622_20180222T101722_020718_0237EF_83FE_icechart_dmi_201802221015_CentralWest_RIC.nc,59130638,58839678,58839612,58839612,66,0,41392,41392,41392,41392
S1A_EW_GRDM_1SDH_20180814T120158_20180814T120258_023242_0286BE_36EF_icechart_cis_SGRDIHA_20180814T1201Z_pl_a.nc,89427642,87075809,87075809,87075809,0,0,41989,41989,41989,41989
S1A_EW_GRDM_1SDH_20180721T120156_20180721T120256_022892_027B98_56D9_icechart_cis_SGRDIMID_20180721T1203Z_pl_a.nc,87331590,84978197,84978197,84978197,0,0,41193,41193,41193,41193
S1A_EW_GRDM_1SDH_20180821T165031_20180821T165132_023347_028A1D_EE9B_icechart_cis_SGRDIWA_20180821T1702Z_pl_a.nc,104607083,101180051,101180051,101180051,0,0,41814,41814,41814,41814
S1A_EW_GRDM_1SDH_20180808T075536_20180808T075636_023152_0283D6_C120_icechart_dmi_201808080800_CentralEast_RIC.nc,101281405,100395005,100395005,100395005,0,0,41392,41392,41392,41392
S1A_EW_GRDM_1SDH_20180707T122209_20180707T122309_022688_027552_A48E_icechart_cis_SGRDIFOXE_20180707T1214Z_pl_a.nc,103984551,101812098,101812098,101812098,0,0,41989,41989,41989,41989
S1A_EW_GRDM_1SDH_20180108T184332_20180108T184437_020067_022330_93EB_icechart_dmi_201801081845_CentralEast_RIC.nc,86996819,84612879,84609201,84609201,3678,0,44298,44298,44298,44298
S1A_EW_GRDM_1SDH_20180328T183523_20180328T183628_021219_0247D4_10DB_icechart_dmi_201803281835_CentralEast_RIC.nc,95571106,92963557,92963519,92963519,38,0,44298,44298,44298,44298
S1A_EW_GRDM_1SDH_20180810T155252_20180810T155352_023186_0284E5_F1A7_icechart_cis_SGRDIWA_20180810T1542Z_pl_a.nc,104067102,103032909,103032909,103032909,0,0,41392,41392,41392,41392
S1A_EW_GRDM_1SDH_20180503T183525_20180503T183629_021744_025845_FE4E_icechart_dmi_201805031835_CentralEast_RIC.nc,95602396,92999122,92998608,92998608,514,0,44298,44298,44298,44298
S1A_EW_GRDM_1SDH_20180325T194759_20180325T194859_021176_024676_449C_icechart_dmi_201803251945_SouthEast_RIC.nc,94632768,93454943,93454943,93454943,0,0,41800,41800,41800,41800
S1A_EW_GRDM_1SDH_20180817T154441_20180817T154545_023288_028849_7061_icechart_cis_SGRDIWA_20180817T1538Z_pl_a.nc,110271335,106811380,106811380,106811380,0,0,43884,43884,43884,43884
S1A_EW_GRDM_1SDH_20180822T203542_20180822T203646_023364_028AA5_C157_icechart_dmi_201808222035_CapeFarewell_RIC.nc,107535076,104554756,104553103,104553103,1653,0,44298,44298,44298,44298
S1A_EW_GRDM_1SDH_20180903T155353_20180903T155430_023536_02901D_25CC_icechart_cis_SGRDIWA_20180903T1541Z_pl_a.nc,42831611,42473571,42473571,42473571,0,0,25584,25584,25584,25584
S1A_EW_GRDM_1SDH_20180901T205221_20180901T205325_023510_028F56_4F5A_icechart_dmi_201809012055_CapeFarewell_RIC.nc,107793684,104847528,104847359,104847359,169,0,44512,44512,44512,44512
S1A_EW_GRDM_1SDH_20180903T155253_20180903T155353_023536_02901D_6ECB_icechart_cis_SGRDIWA_20180903T1541Z_pl_a.nc,104067102,103029743,103029743,103029743,0,0,41392,41392,41392,41392
S1A_EW_GRDM_1SDH_20180907T120359_20180907T120459_023592_0291F2_C233_icechart_cis_SGRDIFOXE_20180907T1204Z_pl_a.nc,63355925,62007819,62007819,62007819,0,0,41989,41989,41989,41989
S1A_EW_GRDM_1SDH_20180906T080234_20180906T080334_023575_029165_F6A4_icechart_dmi_201809060805_NorthEast_RIC.nc,100175882,98607218,98607218,98607218,0,0,41591,41591,41591,41591
S1A_EW_GRDM_1SDH_20180907T120159_20180907T120259_023592_0291F2_C241_icechart_cis_SGRDIHA_20180907T1202Z_pl_a.nc,89422590,87069988,87069988,87069988,0,0,41989,41989,41989,41989
S1A_EW_GRDM_1SDH_20180903T155153_20180903T155253_023536_02901D_E66B_icechart_cis_SGRDIWA_20180903T1541Z_pl_a.nc,103322561,102432953,102432953,102432953,0,0,41392,41392,41392,41392
S1A_EW_GRDM_1SDH_20180910T154442_20180910T154546_023638_029373_4F4E_icechart_cis_SGRDIWA_20180910T1536Z_pl_a.nc,110251969,106794265,106794265,106794265,0,0,43884,43884,43884,43884
